Date,Time,Score,Probability,sun_RA,mercury_RA,venus_RA,earth_RA,mars_RA,jupiter_RA,saturn_RA,sun_Dec,mercury_Dec,venus_Dec,earth_Dec,mars_Dec,jupiter_Dec,saturn_Dec
2024-01-01,00:00,11,16.5,0,329.71,7.18,280.8,77.62,223.38,159.9,0,-19.74,-0.37,-23.06,23.86,-15.47,10.34
2024-02-01,00:00,11,16.5,0,71.38,54.21,313.94,96.9,226.16,160.85,0,25.32,18.16,-17.34,24.64,-16.29,9.99
2024-03-01,00:00,-15,0,0,170.26,103.47,342.25,115.68,228.77,161.74,0,10.9,24.34,-7.53,23.03,-17.03,9.67
2024-04-01,00:00,27,40.5,0,343.82,154.53,10.69,135.66,231.58,162.69,0,-13.95,14.07,4.6,18.77,-17.78,9.31
2024-05-01,00:00,4,6.0,0,77.46,198.61,38.56,154.26,234.32,163.61,0,26.52,-4.78,15.12,12.6,-18.47,8.97
2024-06-01,00:00,34,51.0,0,186.9,246.99,69.29,172.57,237.16,164.56,0,2.22,-21.28,22.07,4.92,-19.13,8.61
2024-07-01,00:00,-11,0,0,356.0,299.65,100.36,189.63,239.92,165.47,0,-8.01,-22.9,23.09,-2.87,-19.73,8.27
2024-08-01,00:00,4,6.0,0,89.89,349.83,131.54,206.94,242.78,166.42,0,28.1,-8.07,17.98,-10.41,-20.31,7.9
2024-09-01,00:00,9,13.5,0,205.58,35.89,160.52,224.23,245.65,167.37,0,-7.81,12.0,8.23,-16.73,-20.83,7.54
2024-10-01,00:00,21,31.5,0,10.11,84.88,187.51,241.05,248.44,168.29,0,-0.47,23.87,-3.24,-21.22,-21.29,7.18
2024-11-01,00:00,6,9.0,0,102.85,137.71,216.54,258.34,251.33,169.24,0,28.54,19.27,-14.47,-23.93,-21.72,6.81
2024-12-01,00:00,28,42.0,0,221.68,183.08,247.46,274.68,254.13,170.16,0,-15.53,2.23,-21.82,-24.67,-22.08,6.45
2025-01-01,00:00,-6,0,0,22.73,229.42,281.62,290.79,257.03,171.11,0,6.32,-16.73,-23.01,-23.67,-22.4,6.07
2025-02-01,00:00,9,13.5,0,116.31,282.54,314.7,305.92,259.93,172.06,0,27.69,-24.37,-17.13,-21.17,-22.67,5.69
2025-03-01,00:00,11,16.5,0,233.72,330.22,342.01,318.71,262.55,172.92,0,-20.27,-15.56,-7.63,-17.9,-22.87,5.35
2025-04-01,00:00,14,21.0,0,28.74,16.89,10.46,332.07,265.44,173.87,0,9.43,4.02,4.5,-13.42,-23.04,4.97
2025-05-01,00:00,6,9.0,0,119.83,63.35,38.31,344.43,268.23,174.79,0,27.25,20.5,15.04,-8.48,-23.16,4.6
2025-06-01,00:00,57,85.5,0,260.53,116.57,69.02,356.93,271.11,175.74,0,-27.02,23.3,22.04,-2.95,-23.22,4.21
2025-07-01,00:00,40,60.0,0,37.48,164.48,100.1,9.1,273.89,176.66,0,13.65,10.28,23.11,2.63,-23.23,3.83
2025-08-01,00:00,43,64.5,0,133.86,209.82,131.3,22.14,276.75,177.62,0,24.56,-9.59,18.04,8.41,-23.2,3.44
2025-09-01,00:00,16,24.0,0,288.95,260.06,160.3,36.07,279.59,178.57,0,-28.32,-23.38,8.32,13.94,-23.11,3.05
2025-10-01,00:00,17,25.5,0,48.92,312.68,187.28,50.81,282.32,179.5,0,18.5,-20.49,-3.14,18.7,-22.97,2.67
2025-11-01,00:00,10,15.0,0,148.35,1.15,216.29,67.65,285.13,180.46,0,20.23,-3.1,-14.39,22.49,-22.79,2.28
2025-12-01,00:00,-6,0,0,308.76,46.1,247.18,85.55,287.82,181.39,0,-25.71,15.66,-21.78,24.48,-22.56,1.89
